cluster index	AllFiles	sum(precursor intensity)	RTMean	RTStdErr	parent mass	ScanNumber	ProteosafeFilePath	Original_Path	internalFilename
1	all_msms_spectra.mgf	0	0	0	457.077	1	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_msms_spectra.mgf	spec-00000.mgf
2	all_msms_spectra.mgf	0	0	0	181.069	10	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_msms_spectra.mgf	spec-00000.mgf
3	all_msms_spectra.mgf	0	0	0	625.082	101	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_msms_spectra.mgf	spec-00000.mgf
4	all_msms_spectra.mgf	0	0	0	295.227	104	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_msms_spectra.mgf	spec-00000.mgf
5	all_msms_spectra.mgf	0	0	0	441.081	107	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_msms_spectra.mgf	spec-00000.mgf
6	all_msms_spectra.mgf	0	0	0	1065.19	11	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_msms_spectra.mgf	spec-00000.mgf
7	all_msms_spectra.mgf	0	0	0	410.102	110	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_msms_spectra.mgf	spec-00000.mgf
8	all_msms_spectra.mgf	0	0	0	447.091	111	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_msms_spectra.mgf	spec-00000.mgf
9	all_msms_spectra.mgf	0	0	0	593.128	115	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_msms_spectra.mgf	spec-00000.mgf
10	all_msms_spectra.mgf	0	0	0	137.01	117	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_msms_spectra.mgf	spec-00000.mgf
11	all_msms_spectra.mgf	0	0	0	913.142	119	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_msms_spectra.mgf	spec-00000.mgf
12	all_msms_spectra.mgf	0	0	0	327.215	121	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_msms_spectra.mgf	spec-00000.mgf
13	all_msms_spectra.mgf	0	0	0	207.078	123	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_msms_spectra.mgf	spec-00000.mgf
14	all_msms_spectra.mgf	0	0	0	609.144	128	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_msms_spectra.mgf	spec-00000.mgf
15	all_msms_spectra.mgf	0	0	0	836.148	13	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_msms_spectra.mgf	spec-00000.mgf
16	all_msms_spectra.mgf	0	0	0	300.998	138	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_msms_spectra.mgf	spec-00000.mgf
17	all_msms_spectra.mgf	0	0	0	493.119	139	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_msms_spectra.mgf	spec-00000.mgf
18	all_msms_spectra.mgf	0	0	0	609.123	14	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_msms_spectra.mgf	spec-00000.mgf
19	all_msms_spectra.mgf	0	0	0	391.945	144	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_msms_spectra.mgf	spec-00000.mgf
20	all_msms_spectra.mgf	0	0	0	125.024	145	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_msms_spectra.mgf	spec-00000.mgf
21	all_msms_spectra.mgf	0	0	0	453.103	149	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_msms_spectra.mgf	spec-00000.mgf
22	all_msms_spectra.mgf	0	0	0	289.072	15	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_msms_spectra.mgf	spec-00000.mgf
23	all_msms_spectra.mgf	0	0	0	137.01	150	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_msms_spectra.mgf	spec-00000.mgf
24	all_msms_spectra.mgf	0	0	0	723.19	151	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_msms_spectra.mgf	spec-00000.mgf
25	all_msms_spectra.mgf	0	0	0	891.194	152	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_msms_spectra.mgf	spec-00000.mgf
26	all_msms_spectra.mgf	0	0	0	329.232	158	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_msms_spectra.mgf	spec-00000.mgf
27	all_msms_spectra.mgf	0	0	0	601.117	159	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_msms_spectra.mgf	spec-00000.mgf
28	all_msms_spectra.mgf	0	0	0	745.14	16	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_msms_spectra.mgf	spec-00000.mgf
29	all_msms_spectra.mgf	0	0	0	287.222	162	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_msms_spectra.mgf	spec-00000.mgf
30	all_msms_spectra.mgf	0	0	0	331.065	165	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_msms_spectra.mgf	spec-00000.mgf
31	all_msms_spectra.mgf	0	0	0	477.103	166	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_msms_spectra.mgf	spec-00000.mgf
32	all_msms_spectra.mgf	0	0	0	319.045	17	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_msms_spectra.mgf	spec-00000.mgf
33	all_msms_spectra.mgf	0	0	0	593.093	18	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_msms_spectra.mgf	spec-00000.mgf
34	all_msms_spectra.mgf	0	0	0	684.122	19	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_msms_spectra.mgf	spec-00000.mgf
35	all_msms_spectra.mgf	0	0	0	332.076	2	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_msms_spectra.mgf	spec-00000.mgf
36	all_msms_spectra.mgf	0	0	0	593.092	20	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_msms_spectra.mgf	spec-00000.mgf
37	all_msms_spectra.mgf	0	0	0	387.167	21	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_msms_spectra.mgf	spec-00000.mgf
38	all_msms_spectra.mgf	0	0	0	249.089	22	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_msms_spectra.mgf	spec-00000.mgf
39	all_msms_spectra.mgf	0	0	0	593.092	23	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_msms_spectra.mgf	spec-00000.mgf
40	all_msms_spectra.mgf	0	0	0	457.075	24	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_msms_spectra.mgf	spec-00000.mgf
41	all_msms_spectra.mgf	0	0	0	249.089	25	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_msms_spectra.mgf	spec-00000.mgf
42	all_msms_spectra.mgf	0	0	0	305.067	26	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_msms_spectra.mgf	spec-00000.mgf
43	all_msms_spectra.mgf	0	0	0	305.065	27	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_msms_spectra.mgf	spec-00000.mgf
44	all_msms_spectra.mgf	0	0	0	609.089	28	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_msms_spectra.mgf	spec-00000.mgf
45	all_msms_spectra.mgf	0	0	0	289.072	29	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_msms_spectra.mgf	spec-00000.mgf
46	all_msms_spectra.mgf	0	0	0	441.082	3	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_msms_spectra.mgf	spec-00000.mgf
47	all_msms_spectra.mgf	0	0	0	913.145	31	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_msms_spectra.mgf	spec-00000.mgf
48	all_msms_spectra.mgf	0	0	0	609.087	32	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_msms_spectra.mgf	spec-00000.mgf
49	all_msms_spectra.mgf	0	0	0	806.167	33	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_msms_spectra.mgf	spec-00000.mgf
50	all_msms_spectra.mgf	0	0	0	913.143	34	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_msms_spectra.mgf	spec-00000.mgf
51	all_msms_spectra.mgf	0	0	0	331.066	35	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_msms_spectra.mgf	spec-00000.mgf
52	all_msms_spectra.mgf	0	0	0	1140.67	37	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_msms_spectra.mgf	spec-00000.mgf
53	all_msms_spectra.mgf	0	0	0	806.167	38	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_msms_spectra.mgf	spec-00000.mgf
54	all_msms_spectra.mgf	0	0	0	305.066	39	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_msms_spectra.mgf	spec-00000.mgf
55	all_msms_spectra.mgf	0	0	0	332.076	4	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_msms_spectra.mgf	spec-00000.mgf
56	all_msms_spectra.mgf	0	0	0	636.099	40	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_msms_spectra.mgf	spec-00000.mgf
57	all_msms_spectra.mgf	0	0	0	891.195	42	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_msms_spectra.mgf	spec-00000.mgf
58	all_msms_spectra.mgf	0	0	0	761.134	43	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_msms_spectra.mgf	spec-00000.mgf
59	all_msms_spectra.mgf	0	0	0	875.201	44	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_msms_spectra.mgf	spec-00000.mgf
60	all_msms_spectra.mgf	0	0	0	875.199	46	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_msms_spectra.mgf	spec-00000.mgf
61	all_msms_spectra.mgf	0	0	0	761.135	47	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_msms_spectra.mgf	spec-00000.mgf
62	all_msms_spectra.mgf	0	0	0	636.099	48	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_msms_spectra.mgf	spec-00000.mgf
63	all_msms_spectra.mgf	0	0	0	1140.67	49	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_msms_spectra.mgf	spec-00000.mgf
64	all_msms_spectra.mgf	0	0	0	484.087	5	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_msms_spectra.mgf	spec-00000.mgf
65	all_msms_spectra.mgf	0	0	0	304.038	50	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_msms_spectra.mgf	spec-00000.mgf
66	all_msms_spectra.mgf	0	0	0	480.31	51	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_msms_spectra.mgf	spec-00000.mgf
67	all_msms_spectra.mgf	0	0	0	196.06	52	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_msms_spectra.mgf	spec-00000.mgf
68	all_msms_spectra.mgf	0	0	0	504.309	53	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_msms_spectra.mgf	spec-00000.mgf
69	all_msms_spectra.mgf	0	0	0	591.098	54	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_msms_spectra.mgf	spec-00000.mgf
70	all_msms_spectra.mgf	0	0	0	169.013	56	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_msms_spectra.mgf	spec-00000.mgf
71	all_msms_spectra.mgf	0	0	0	321.024	57	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_msms_spectra.mgf	spec-00000.mgf
72	all_msms_spectra.mgf	0	0	0	609.088	58	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_msms_spectra.mgf	spec-00000.mgf
73	all_msms_spectra.mgf	0	0	0	761.135	6	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_msms_spectra.mgf	spec-00000.mgf
74	all_msms_spectra.mgf	0	0	0	589.107	61	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_msms_spectra.mgf	spec-00000.mgf
75	all_msms_spectra.mgf	0	0	0	806.165	63	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_msms_spectra.mgf	spec-00000.mgf
76	all_msms_spectra.mgf	0	0	0	1049.2	64	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_msms_spectra.mgf	spec-00000.mgf
77	all_msms_spectra.mgf	0	0	0	599.104	67	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_msms_spectra.mgf	spec-00000.mgf
78	all_msms_spectra.mgf	0	0	0	287.056	68	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_msms_spectra.mgf	spec-00000.mgf
79	all_msms_spectra.mgf	0	0	0	730.163	69	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_msms_spectra.mgf	spec-00000.mgf
80	all_msms_spectra.mgf	0	0	0	1027.21	7	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_msms_spectra.mgf	spec-00000.mgf
81	all_msms_spectra.mgf	0	0	0	453.044	70	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_msms_spectra.mgf	spec-00000.mgf
82	all_msms_spectra.mgf	0	0	0	293.212	71	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_msms_spectra.mgf	spec-00000.mgf
83	all_msms_spectra.mgf	0	0	0	433.078	72	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_msms_spectra.mgf	spec-00000.mgf
84	all_msms_spectra.mgf	0	0	0	283.024	75	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_msms_spectra.mgf	spec-00000.mgf
85	all_msms_spectra.mgf	0	0	0	208.027	76	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_msms_spectra.mgf	spec-00000.mgf
86	all_msms_spectra.mgf	0	0	0	493.118	78	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_msms_spectra.mgf	spec-00000.mgf
87	all_msms_spectra.mgf	0	0	0	743.111	79	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_msms_spectra.mgf	spec-00000.mgf
88	all_msms_spectra.mgf	0	0	0	169.013	8	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_msms_spectra.mgf	spec-00000.mgf
89	all_msms_spectra.mgf	0	0	0	411.022	80	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_msms_spectra.mgf	spec-00000.mgf
90	all_msms_spectra.mgf	0	0	0	169.013	82	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_msms_spectra.mgf	spec-00000.mgf
91	all_msms_spectra.mgf	0	0	0	209.031	84	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_msms_spectra.mgf	spec-00000.mgf
92	all_msms_spectra.mgf	0	0	0	489.213	86	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_msms_spectra.mgf	spec-00000.mgf
93	all_msms_spectra.mgf	0	0	0	289.073	87	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_msms_spectra.mgf	spec-00000.mgf
94	all_msms_spectra.mgf	0	0	0	515.175	88	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_msms_spectra.mgf	spec-00000.mgf
95	all_msms_spectra.mgf	0	0	0	675.227	89	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_msms_spectra.mgf	spec-00000.mgf
96	all_msms_spectra.mgf	0	0	0	463.087	9	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_msms_spectra.mgf	spec-00000.mgf
97	all_msms_spectra.mgf	0	0	0	761.134	93	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_msms_spectra.mgf	spec-00000.mgf
98	all_msms_spectra.mgf	0	0	0	439.086	95	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_msms_spectra.mgf	spec-00000.mgf
